HarressarGender,Major,Institution,Experience
male,social&humanities,Other R1,"There were rumors (unsubstantiated, just gossip) that my advisor had an affair with one of his female graduate students before I was a student here. An older grad student who supposedly knew of the affair told me I was a _—“typical _____ student_—ù because I was a woman, conventionally somewhat attractive, and young (22 when I came into my PhD program). "
male,social&humanities,"More Than One Institution (feel free to elaborate in ""Comments"")","When I was in grad school a male faculty member ""joked"" to a group of three female PhD students (myself included) who had just mentioned how stressed we were about comps, that ""all [we] had to do was wear tight, low-cut dresses and [we'd be fine."" Several years later a male faculty member stared at my breasts repeatedly, whenever I passed him in the hallway, etc, to the point where I had to sit on the same side of the table as him during meetings so as to not keep catching him doing it when I was on the opposite side"
male,social&humanities,"More Than One Institution (feel free to elaborate in ""Comments"")","A senior colleague made overt sexual comments to me, including describing himself naked and having sex "
male,social&humanities,"More Than One Institution (feel free to elaborate in ""Comments"")",Kissed on the mouth in front of entire board of a prize committee at dinner following conference (I was the one receiving the prize)
male,social&humanities,Other R1,"Stalked, harassed, threatened by a colleague who also threatened the safety of my toddler daughter. "
male,natural,R2,An email detailing sadomasochistic acts being done to me.
male,NotAvailable,Other R1,Professor of graduate course made sexual jokes about students in class; forced students to answer questions about sexual experiences as _—“fun ice-breakers._—ù
male,natural,Other R1,"It did not happen to me, but was passed Down by femal grad students"
male,social&humanities,Other R1,Sexual harassment (unwanted touching and comments about pregnancy and pregnant body)
male,NotDetected,Other Type of School,Male students locked me in a supply closet.
male,social&humanities,Elite Institution/Ivy League,Lied about title iX. Sent inappropriate/emotional texts
male,social&humanities,Elite Institution/Ivy League,"Several women masters students (I'm male) told me about a senior tenured male professor who made mild to utterly obscene sexual comments to them. I looked up university policies and procedures around this and identified courses of action, but none wished to pursue anything and did not want me to act on their behalf. The university required them to lodge a complaint as anything I said would be hearsay, so no action was taken. The professor is now head of department. "
male,NotAvailable,Regional Teaching College,Gender based harassment 
male,natural,"More Than One Institution (feel free to elaborate in ""Comments"")",Conference - male PI put his hand down my pants
male,social&humanities,Elite Institution/Ivy League,"A professor I wanted to work with met with me in his office and told me he was no longer having sex with his wife, suggesting he was looking for that role to be filled. When I nervously and unbelievingly laughed, he dismissed me and wouldn_—Èt work with me."
